"county_name","state_name","population_size","percent_1to9","percent_10to14","percent_15to19","percent_20to34","percent_35to44","percent_45to64","percent_65plus","median_household_income","median_houshold_year_round_incomes","percent_25year_above_high_school","percent_25year_above_professional_diploma","percent_25year_above_bachelors_degree","percent_25year_above_bacholors_above","management_business_science_arts","service_occupations","sales_office_occupation","naturalresources_construction_maintenance","production_transportation_materialmoving","median_age","avg_house_hold_size"
"Williamson County"," Illinois","67056","13","6","5.1","17.3","26","13.8","16.9","27465","84103","33.8","13.3","10.4","23.7","32.1","24.3","20.6","10.3","12.7","40.9","3"
"Delaware County"," Indiana","114772","11.3","4.1","8.8","25.7","20.8","11.9","14.6","24070","78679","32.3","13.3","11.7","25","33.9","22.7","21.6","5.2","16.7","35","3"
"Hendricks County"," Indiana","167009","14","6.3","6.8","17.5","29.4","12.2","12.6","41154","106523","23.9","24.9","13.3","38.2","40.6","12.2","27.3","7.2","12.7","38.2","3"
"LaPorte County"," Indiana","110007","12","5.8","5.7","18.9","25.7","14","16.2","30742","85954","41.5","12.9","6.4","19.3","27.3","23.7","18.8","8.1","22","40.4","3"
"Madison County"," Indiana","129641","11.2","6.8","6.2","19.1","25.1","13.4","16","30435","80994","38.2","12.6","6.4","19","30.9","19.2","23.4","8.6","17.9","40.2","3"
"Dubuque County"," Iowa","96854","12.8","5.6","7.2","19.8","22.3","14.1","15.2","32816","88950","34.8","19.5","11.3","30.8","35.3","18.1","20.2","6.7","19.6","38.4","3"
"Pottawattamie County"," Iowa","93533","12.1","7.3","6.5","18.2","23.9","14.5","15.4","31566","81811","34.1","14.6","6.5","21","31.9","19.6","21.9","9.8","16.9","39.3","3"
"Johnson County"," Kansas","597555","12.9","7.1","6.4","19.5","27","12.5","12.6","46054","121997","14.2","34.4","21.3","55.7","50.5","12.5","23.9","4.9","8.2","37.8","3"
"Kenton County"," Kentucky","166051","14.9","5.4","5.9","21.2","24.8","13.4","13","36206","92985","26.6","20.8","13","33.8","41","14","23.9","6.4","14.8","36.2","3"
"Warren County"," Kentucky","131264","11.9","7.2","9.3","23.8","23.5","11.1","12","26123","86472","27.6","18.6","11.1","29.7","31.5","18.4","24.3","7.1","18.8","33","3"
"Lafayette Parish"," Louisiana","242782","13.6","6.2","6.9","22.3","25.3","12.5","11.7","32355","92164","31.8","21.7","10.6","32.3","37.3","18.3","23.5","8.3","12.6","35.4","3"
"Charles County"," Maryland","161503","12.8","6.3","6.9","19.7","28.4","13.5","10.9","48949","125676","30.4","19.9","9.9","29.8","39","20","23.6","9.4","8.1","38.2","3"
"Frederick County"," Maryland","255648","12.5","6.5","6.8","18.8","27.4","13.6","12.6","50154","132034","23.9","23.2","18.8","42","48.3","16.6","19.3","8.3","7.6","39.1","3"
"Prince George's County"," Maryland","909308","12.5","6.2","6.4","21.4","27.3","12.9","11.9","41014","108743","24.9","19.3","15","34.3","40.7","20.5","19.4","10.1","9.3","37.4","3"
"Middlesex County"," Massachusetts","1614714","10.8","5.5","6.4","22.7","26.5","12.9","13.1","51311","143156","18.4","28.4","29.4","57.8","58","13.9","16.7","5.1","6.3","38.4","3"
"Suffolk County"," Massachusetts","807252","9.7","4.3","6.7","33","23.9","10.4","10.6","40571","117558","19.5","26","21.7","47.8","47.8","19.8","19.8","4.3","8.4","32.9","3"
"Eaton County"," Michigan","109826","10.5","6.4","6.1","18.9","25.1","14.5","16.7","35722","96558","24","18.7","10.7","29.4","37.9","17.9","19.7","7.7","16.7","40.8","3"
"Grand Traverse County"," Michigan","92573","10.1","6.8","5.7","17.5","24.6","15.4","17","32330","90260","26.3","22.5","11.8","34.3","34.4","16.6","26.4","9.5","13.1","42.6","3"
"Jackson County"," Michigan","158823","10.6","6.6","6.7","18.8","25","14.3","16","29597","83182","34.4","13.8","7.2","21","32.7","18.8","22.1","7.4","18.9","41.5","3"
"Kalamazoo County"," Michigan","264870","11.7","6.5","7","25.6","22.6","11.7","13.3","30286","95114","22.8","23.6","15.2","38.8","40.6","18.5","20.2","5.6","15.2","34.5","3"
"Muskegon County"," Michigan","173588","12.3","6.7","6.2","19.5","24.1","14.2","15","31172","85469","33.8","13.1","6.5","19.7","27.7","20","20.4","8.3","23.7","39.3","3"
"Ottawa County"," Michigan","290494","13.3","6.6","8.4","21.4","23.4","12","13.2","31928","96425","28.4","23.1","11.7","34.8","35.8","17.4","20.2","7.4","19.3","35.2","3"
"Anoka County"," Minnesota","353813","12.5","7.2","6.4","18.3","27.4","14","12.9","42577","109901","27.4","22.8","9.3","32.1","37.8","15.4","22.2","8.6","16","39.3","3"
"Carver County"," Minnesota","103551","13","8.3","7.7","16.5","29.1","13.1","11.7","52006","140537","17","32.8","17.8","50.6","50.8","9.7","24.3","7.3","7.9","38.1","3"
"Olmsted County"," Minnesota","156277","13.3","7","6.1","19.8","25.3","13","13.3","41501","113018","18.4","25.7","19.7","45.4","50.2","16.7","18","5.7","9.4","38.1","3"
"St. Louis County"," Minnesota","199754","10.2","5.6","6.8","20.7","22.5","14.9","16.5","30628","92840","26.1","19","10.3","29.2","35.4","21.8","21.6","8.9","12.2","40.9","3"
"Sherburne County"," Minnesota","96036","14.5","7.4","6.5","20.1","28.3","12.2","9.6","37414","97195","29.1","19.7","6.9","26.6","31.9","14.1","21.9","11.8","20.4","35.6","3"
"Lauderdale County"," Mississippi","75317","13.4","7.6","5.4","19.2","24.4","12.9","14.8","27343","77079","24.2","11.8","7.1","18.9","37.6","17.3","22.2","9","13.9","37.4","3"
"Lee County"," Mississippi","85202","14","6.8","7.1","18.6","26.5","12.9","12.9","31864","76740","23.8","16.1","9.4","25.4","32.4","17.2","19.2","8.9","22.4","37.1","3"
"Rankin County"," Mississippi","153902","11.4","7.4","5.9","20.1","27.7","12.2","13.8","36525","95376","25.5","17.8","12.5","30.3","37.9","13.9","25.9","12","10.3","38","3"
"Douglas County"," Nebraska","566880","14.5","7.1","6.7","22","25.1","11.7","11.3","36692","97663","20.6","25.8","14.4","40.1","42.1","16.3","22.3","7.5","11.8","34.8","3"
"Lancaster County"," Nebraska","317272","12.6","6.7","7.4","24.9","23.3","11.3","12.2","32012","90716","21.2","26.3","14.8","41","41.4","18","21.1","7.8","11.6","34","3"
"Sarpy County"," Nebraska","184459","15.2","7.7","7","20.5","26.7","10.9","10.5","40480","105023","22.4","24.7","14.4","39.1","43.2","16.1","22.1","7.7","10.8","34.7","3"
"Cheshire County"," New Hampshire","76493","8.4","5.9","8.9","18.8","22.7","15.7","18.1","29343","95040","32.6","20.8","11.3","32.1","36.5","18.9","21","8.8","14.7","43.4","3"
"Hillsborough County"," New Hampshire","415247","10.8","6","6.1","19.9","26.7","15","13.5","41492","108833","26","24.1","14.5","38.6","41.8","15.7","22.1","7.5","12.9","41.1","3"
"Cape May County"," New Jersey","92560","8.1","4.7","4.5","17.3","22.1","17.3","23.2","35725","101103","29.3","22.8","12","34.8","37.4","23","21.5","8.9","9.3","50.4","3"
"Cumberland County"," New Jersey","150972","12.2","7.4","6.4","19.8","26.6","12.2","13.9","28624","79430","35.8","9.8","6.8","16.6","28.1","20.4","18.5","13.2","19.9","38.4","3"
"Hudson County"," New Jersey","676061","12.2","5.3","4.8","27.1","28","10.6","10.2","42258","112644","22.6","27.9","17.7","45.7","44.2","17","19.1","6.5","13.2","35.3","3"
"San Juan County"," New Mexico","125043","14","7.8","7.5","18.8","23.6","12.9","13.5","30517","84746","27.1","9.3","6.9","16.2","28.7","18.1","26","14.9","12.2","36","3"
"Santa Fe County"," New Mexico","150056","9","5.7","5.6","16","23.9","15.5","22.5","33848","87368","24.8","19","20.4","39.4","42.4","18.9","20.1","11","7.6","47.8","3"
"St. Lawrence County"," New York","108047","10.7","5.7","9.2","19.6","23.7","13.9","14.7","29783","94387","39","11.1","11.9","23","33.6","23.7","21.3","10.4","10.9","39.8","3"
"Ulster County"," New York","178599","8.9","5.5","5.6","19.8","25.2","15.4","17.2","33367","101237","29.7","17.9","13.8","31.7","34.9","22.1","21.7","10.6","10.7","43.3","3"
"Cabarrus County"," North Carolina","211342","13","7.9","7.3","17.9","29","11.6","11.9","35807","98795","26.5","21.6","12.6","34.2","43.5","14.3","19.8","10.4","12","37.6","3"
"Cumberland County"," North Carolina","332330","13.9","6.8","7","27","22.6","10.6","11","28482","73193","25.2","17.9","9.3","27.2","34.3","20.1","21.7","8","15.9","31.5","3"
"Guilford County"," North Carolina","533670","11.7","6.6","7.6","21","25.5","12.6","13.1","31819","87705","22.5","23.6","13","36.7","39.5","16.8","21.1","6.9","15.8","37","3"
"Wake County"," North Carolina","1092305","12.7","7.1","6.9","21","29.2","11.4","10.4","42254","112280","14.5","34.1","20.4","54.5","53.3","14","19.1","5.5","8.1","36.4","3"
"Burleigh County"," North Dakota","95273","12.8","6.6","6.2","21.5","24.1","12.8","13.2","42285","109174","22.8","25.4","8.7","34.1","39.2","17.6","22.6","9.3","11.3","37.4","3"
"Lake County"," Ohio","230514","10.2","5.9","5.9","17.2","25.3","15.4","17.6","40300","100091","31.5","18.7","10.5","29.2","40.4","15","21","7.6","15.9","44.2","3"
"Lorain County"," Ohio","309461","11.7","6.4","6.5","17.3","25.4","14.3","16.1","34540","98518","30.9","17.2","9.7","26.9","37.8","16.7","21.6","7.6","16.3","42.1","3"
"Lucas County"," Ohio","429899","12.3","6.8","6.4","20.5","23.9","13.7","14.3","30623","87403","31.3","16","9.8","25.8","32","19.9","20.9","7.6","19.6","38.1","3"
"Summit County"," Ohio","541918","11.1","6","6.2","19.3","24.9","14.6","15.5","35169","96158","27.8","21.4","13","34.3","39.7","17.1","22.5","6.2","14.5","41","3"
"Creek County"," Oklahoma","71604","13","6.7","6.5","17.2","25.2","13.9","14.9","35452","88905","35.8","12.3","5.3","17.6","30.2","14.8","22.9","14.1","18.1","40.2","3"
"Payne County"," Oklahoma","82040","10.7","5.4","10.8","31.8","18.3","9.6","11.8","22132","82119","28.7","23","14.7","37.7","38.9","19.3","19.4","8.5","13.9","27.8","3"
"Rogers County"," Oklahoma","91984","12.4","6.6","6.8","18.4","25.7","13.8","14.6","36321","89705","33.1","18.8","6.5","25.3","36.1","16.3","20.6","11.5","15.4","39.7","3"
"Tulsa County"," Oklahoma","648360","13.9","7.3","6.6","21","24.8","12","12.7","32630","88124","25.8","21","10.5","31.6","37.9","16.8","23.7","8.1","13.5","35.9","3"
"Lane County"," Oregon","379611","9.7","5.7","6.3","22","23.7","13.1","17.5","27295","83959","22.7","18.6","11.5","30.1","36.4","21.2","20.8","8.9","12.6","39.5","3"
"Adams County"," Pennsylvania","102811","10","7.1","6.4","16.8","25.1","14.6","17.8","34245","89062","38.7","13.1","10.3","23.5","31.4","17.5","19.9","9.7","21.4","43.8","3"
"Cumberland County"," Pennsylvania","251423","10.8","6","6.4","19.9","24.8","13.6","16.1","36023","106006","33.3","23.8","13.8","37.6","40.3","15.1","26.3","5.8","12.5","40.7","3"
"Lebanon County"," Pennsylvania","141314","11.8","7","6.6","16.7","25.1","13.2","16.6","31739","88162","45.1","13.8","6.8","20.6","28.6","22.2","20.8","7.9","20.6","41.3","3"
"Lycoming County"," Pennsylvania","113664","10.4","6.4","7.5","18.4","23.4","14.6","17.2","30328","81862","37.9","17.1","7.9","25","33.9","17.4","21.4","8.8","18.5","41.7","3"
"Kent County"," Rhode Island","163861","10","5.1","5.2","18.8","26.6","15.4","16.2","45947","111482","25.7","20.8","13.3","34.1","44.6","17.5","20.8","7.2","9.8","44","3"
"Berkeley County"," South Carolina","221091","14.3","5.9","6.6","21.2","25.9","12.2","12.8","32376","87392","30","16.7","8","24.7","35","18.8","21.5","10.7","14","36.2","3"
"Sumter County"," South Carolina","106512","12.3","7.4","6.6","21.1","23.5","12.5","14.7","29004","73050","29.2","12.9","7.2","20.1","28.4","19.6","23.9","9.1","18.9","36.7","3"
"Davidson County"," Tennessee","692587","12.5","5.3","5.7","27.3","25.5","11.5","10.8","35460","87653","22.5","25.9","16.4","42.3","43","17.1","22.1","6.6","11.3","34.5","3"
"Hamilton County"," Tennessee","364286","11.5","5.8","6.1","20.6","25.1","13.5","15.3","32557","86851","24.4","19.7","11.5","31.2","38.2","16.8","23.4","8.7","12.9","39.7","3"
"Robertson County"," Tennessee","71012","12.5","7.3","6.5","18.6","26.1","14.7","13.4","36650","90181","36.9","14.7","5.6","20.3","37.1","13.5","19.2","12.4","17.8","39.2","3"
"Washington County"," Tennessee","128607","9.6","6","6.4","21.4","25.1","13.3","16","27114","81238","26.2","19.5","13.6","33.1","37.6","17.3","23","7.9","14.3","40.7","3"
"Brazoria County"," Texas","370200","14.4","7.6","7","19","28.7","11.5","10.8","42490","109321","25.8","18.1","9.2","27.3","39.9","14.3","19.2","12.6","14","36.1","4"
"Collin County"," Texas","1005146","12.9","8.4","7.1","18.6","30.9","11.2","10","49123","128969","15.7","32.9","19.5","52.4","52.8","13.2","21.8","5.2","7","37.2","3"
"Dallas County"," Texas","2637772","14.7","7.3","6.8","23.5","26.2","10.9","9.6","35058","87113","23.2","20","11.7","31.8","34.8","17.1","22.1","11.8","14.2","33.5","4"
"Galveston County"," Texas","337890","12.7","7.3","6.6","19.4","26.2","13.3","13.1","40611","112606","24.1","21.7","10.4","32.1","40.4","16.5","19.2","10.5","13.5","37.8","3"
"Williamson County"," Texas","566719","13.7","7.5","7","19.3","29.9","10.5","10.8","41524","114298","19.2","28.2","15.1","43.3","46.2","15.5","22.9","7.6","7.7","36.5","4"
