county_name,stat_name,population_size,median_household_income,median_houshold_year_round_incomes
Ingham County, Michigan,292735,26045,93826
Leon County, Florida,292502,27133,87692
Greene County, Missouri,291923,30767,77170
Anchorage Municipality, Alaska,291538,41701,111670
Gloucester County, New Jersey,291408,42420,119039
Ottawa County, Michigan,290494,31928,96425
Clayton County, Georgia,289615,28059,71153
Chatham County, Georgia,289195,30324,86407
Thurston County, Washington,286419,40955,104486
Winnebago County, Illinois,284081,31063,88329
San Luis Obispo County, California,284010,31917,108131
Cleveland County, Oklahoma,281669,31848,87533
Dauphin County, Pennsylvania,277097,35447,94175
Webb County, Texas,275910,25163,70009
Merced County, California,274765,28852,78623
Santa Cruz County, California,274255,32448,121761
York County, South Carolina,274118,35263,96996
Benton County, Arkansas,272608,37058,88065
Erie County, Pennsylvania,272061,28566,85986
St. Joseph County, Indiana,270771,31886,88256
Alachua County, Florida,269956,27561,84384
Kitsap County, Washington,269805,36812,103100
New London County, Connecticut,266784,36591,109465
Atlantic County, New Jersey,265429,31729,94726
Kalamazoo County, Michigan,264870,30286,95114
Madison County, Illinois,264461,34171,100134
Brown County, Wisconsin,263378,35012,91106
St. Clair County, Illinois,261059,35930,94255
Marin County, California,259666,60489,186682
Washington County, Minnesota,259201,46484,127565
Buncombe County, North Carolina,259103,32546,83484
St. Tammany Parish, Louisiana,258111,34737,100429
Weber County, Utah,256359,32374,88744
Frederick County, Maryland,255648,50154,132034
Jefferson County, Texas,255001,31487,86394
McLennan County, Texas,254607,27000,77114
St. Johns County, Florida,254261,37707,119045
Cherokee County, Georgia,254149,38633,107186
Harford County, Maryland,253956,45049,118491
Yakima County, Washington,251446,28223,72867
Cumberland County, Pennsylvania,251423,36023,106006
Clay County, Missouri,246365,39569,98170
Norfolk city, Virginia,244076,27022,72729
Caddo Parish, Louisiana,242922,26854,76082
Lafayette Parish, Louisiana,242782,32355,92164
Chesapeake city, Virginia,242634,39749,106697
Arlington County, Virginia,237521,71018,178191
Hinds County, Mississippi,237085,27439,73649
Washington County, Arkansas,236961,31532,81395
Forsyth County, Georgia,236612,50787,137922
Union County, North Carolina,235908,37249,107333
New Hanover County, North Carolina,232274,31363,86398
Warren County, Ohio,232173,43850,120596
Yavapai County, Arizona,231993,26699,83613
Williamson County, Tennessee,231729,49523,148097
Butte County, California,231256,28589,90725
Lake County, Ohio,230514,40300,100091
Smith County, Texas,230221,31387,80233
Henry County, Georgia,230220,38547,97329
Saratoga County, New York,230163,44754,122314
Mahoning County, Ohio,229642,29603,86749
Oneida County, New York,229577,33549,87793
Sussex County, Delaware,229286,30632,83653
Richmond city, Virginia,228783,30163,85362
Brazos County, Texas,226758,25567,88656
Linn County, Iowa,225909,37070,101997
Montgomery County, Alabama,225763,30064,84069
Whatcom County, Washington,225685,32347,96498
Jefferson County, Missouri,224347,36837,91879
Canyon County, Idaho,223499,27826,71362
Gaston County, North Carolina,222846,31240,85174
Hays County, Texas,222631,31654,91511
Berkeley County, South Carolina,221091,32376,87392
Yolo County, California,220408,31653,107568
Jackson County, Oregon,219564,31162,82650
Baldwin County, Alabama,218022,30212,83601
Doña Ana County, New Mexico,217522,21650,65388
Clay County, Florida,216072,35452,85447
Shelby County, Alabama,215707,40263,106214
Barnstable County, Massachusetts,213413,35039,107888
Yuma County, Arizona,212128,27224,70030
Cabarrus County, North Carolina,211342,35807,98795
Lackawanna County, Pennsylvania,210793,31377,85446
Niagara County, New York,210433,36165,94789
Champaign County, Illinois,209983,27162,95086
Mohave County, Arizona,209550,27537,74865
Tuscaloosa County, Alabama,208911,27821,87104
Washington County, Pennsylvania,207346,35649,97455
Okaloosa County, Florida,207269,31952,88839
Harrison County, Mississippi,206650,26422,74724
York County, Maine,206229,36434,97638
Montgomery County, Tennessee,205950,32480,80532
Elkhart County, Indiana,205560,32301,82916
Clermont County, Ohio,205466,36532,95678
Delaware County, Ohio,204826,49857,142077
Calcasieu Parish, Louisiana,203112,31497,85813
Johnston County, North Carolina,202675,31858,85035
Hall County, Georgia,202148,31865,75100
Benton County, Washington,201877,34471,103992
Richmond County, Georgia,201554,25952,68124
Hawaii County, Hawaii,200983,32314,87109
Anderson County, South Carolina,200482,31980,86021
St. Louis County, Minnesota,199754,30628,92840
Trumbull County, Ohio,198627,30902,83391
Onslow County, North Carolina,197683,25392,62802
Racine County, Wisconsin,196584,33680,89701
Sangamon County, Illinois,195348,36952,99777
Muscogee County, Georgia,194160,29726,81606
Tippecanoe County, Indiana,193048,24753,86462
Minnehaha County, South Dakota,192876,32786,86297
Deschutes County, Oregon,191996,33553,92758
Broome County, New York,191659,28398,87972
Livingston County, Michigan,191224,41651,112447
Hernando County, Florida,190865,29330,75768
Saginaw County, Michigan,190800,30287,89094
El Dorado County, California,190678,42127,126662
Beaufort County, South Carolina,188715,30660,84276
Butler County, Pennsylvania,187888,37525,108105
Outagamie County, Wisconsin,187365,37796,97172
Sumner County, Tennessee,187149,35917,93107
Bay County, Florida,185287,30825,80433
Charlotte County, Florida,184998,23419,76289
Sarpy County, Nebraska,184459,40480,105023
DeSoto County, Mississippi,182001,34440,86987
Imperial County, California,181827,24295,84152
Cass County, North Dakota,181516,36452,93173
Litchfield County, Connecticut,181111,41758,111258
Vanderburgh County, Indiana,180974,31354,83747
Peoria County, Illinois,180621,32008,90661
Kanawha County, West Virginia,180454,29872,74647
Shasta County, California,180040,30955,101919
Boone County, Missouri,180005,27694,86687
Pitt County, North Carolina,179914,26101,84943
Ellis County, Texas,179436,37697,100058
Santa Rosa County, Florida,179349,36941,95565
Medina County, Ohio,179146,41898,108699
Newport News city, Virginia,178626,31642,79230
Ulster County, New York,178599,33367,101237
Kent County, Delaware,178550,32114,85414
Iredell County, North Carolina,178435,33601,86513
Shawnee County, Kansas,177499,34109,90114
Licking County, Ohio,175769,36841,93736
Muskegon County, Michigan,173588,31172,85469
Scott County, Iowa,173283,34806,94882
McLean County, Illinois,172828,34271,107899
Midland County, Texas,172578,41111,105980
Washington County, Utah,171700,29496,82836
Johnson County, Texas,171361,38929,88311
Winnebago County, Wisconsin,171020,33186,88579
Bayamón Municipio, Puerto Rico,170480,17790,47299
Porter County, Indiana,169594,36976,103304
Monroe County, Pennsylvania,169507,30968,87064
Aiken County, South Carolina,169401,31379,89178
Kenosha County, Wisconsin,169290,34136,92990
Carroll County, Maryland,168429,46884,123792
Greene County, Ohio,167995,35718,105752
Pueblo County, Colorado,167529,30732,89291
Maui County, Hawaii,167218,35951,93102
Hendricks County, Indiana,167009,41154,106523
Davidson County, North Carolina,166614,31424,78113
Alamance County, North Carolina,166436,31953,84085
Kenton County, Kentucky,166051,36206,92985
Wyandotte County, Kansas,165324,30234,77017
Beaver County, Pennsylvania,164742,34709,93703
Chittenden County, Vermont,164572,35586,105392
Paulding County, Georgia,164044,40169,96223
Lee County, Alabama,163941,27604,84986
Kent County, Rhode Island,163861,45947,111482
Guadalupe County, Texas,163694,40243,96441
Rock County, Wisconsin,163129,32317,84404
Portage County, Ohio,162927,30217,95645
Centre County, Pennsylvania,162805,26295,92743
Middlesex County, Connecticut,162682,50131,131650
Ector County, Texas,162124,39299,92732
Kootenai County, Idaho,161505,30215,80070
Charles County, Maryland,161503,48949,125676
Hampshire County, Massachusetts,161355,31172,116527
Martin County, Florida,160912,35146,93000
Dorchester County, South Carolina,160647,35136,96250
Alexandria city, Virginia,160530,61302,154797
Yellowstone County, Montana,160137,33342,87441
Rensselaer County, New York,159442,39924,105226
St. Clair County, Michigan,159337,33016,95619
Stearns County, Minnesota,159256,30822,92945
Jackson County, Michigan,158823,29597,83182
Catawba County, North Carolina,158652,31122,81312
Madera County, California,157672,26557,75778
Sullivan County, Tennessee,157668,30475,81164
Indian River County, Florida,157413,29564,77480
Olmsted County, Minnesota,156277,41501,113018
Johnson County, Indiana,156225,37451,95528
Fairfield County, Ohio,155782,37163,100285
Houston County, Georgia,155469,35852,93780
Schenectady County, New York,155350,35752,102549
Franklin County, Pennsylvania,154835,31988,87495
Ouachita Parish, Louisiana,154475,32122,92053
Columbia County, Georgia,154291,37522,97919
Berrien County, Michigan,154141,31371,88322
Rankin County, Mississippi,153902,36525,95376
Mesa County, Colorado,153207,32861,97558
Bibb County, Georgia,153095,26849,77901
Kings County, California,151366,32168,90672
Johnson County, Iowa,151260,30997,98771
Merrimack County, New Hampshire,151132,38366,97673
Penobscot County, Maine,151096,30249,82680
Cumberland County, New Jersey,150972,28624,79430
Washington County, Maryland,150926,36491,94900
Tolland County, Connecticut,150921,43759,134609
Monroe County, Michigan,150439,39285,104132
Santa Fe County, New Mexico,150056,33848,87368
Stafford County, Virginia,149960,48150,128091
Comal County, Texas,148373,39588,104675
Citrus County, Florida,147929,26393,69444
Carolina Municipio, Puerto Rico,147661,20488,49859
Scott County, Minnesota,147381,46283,123238
Monroe County, Indiana,146917,22465,91043
Orange County, North Carolina,146027,31202,116111
Coweta County, Georgia,145864,36187,95420
Douglas County, Georgia,145331,33713,84857
Sandoval County, New Mexico,145179,31687,75787
Canadian County, Oklahoma,144447,35721,89088
Rock Island County, Illinois,143477,31660,90612
Randolph County, North Carolina,143351,29557,78351
Jackson County, Mississippi,143277,30956,82240
Coconino County, Arizona,142854,25386,81829
Schuylkill County, Pennsylvania,142067,34964,90443
Lebanon County, Pennsylvania,141314,31739,88162
Rowan County, North Carolina,141262,29591,82537
Sussex County, New Jersey,140799,46340,122696
Wilson County, Tennessee,140625,37819,102213
Livingston Parish, Louisiana,139567,44915,109602
Napa County, California,139417,37855,107474
Parker County, Texas,138371,40247,103212
Florence County, South Carolina,138159,30321,77084
Taylor County, Texas,137640,28201,76808
Brunswick County, North Carolina,136744,30432,86712
Humboldt County, California,136373,24351,80208
Wright County, Minnesota,136349,45418,108077
Randall County, Texas,136271,39999,96799
Washington County, Wisconsin,135693,45097,110971
Marathon County, Wisconsin,135428,36191,92100
Clark County, Ohio,134585,30841,83981
Calhoun County, Michigan,134487,30382,77590
Hampton city, Virginia,134313,35134,88788
Spotsylvania County, Virginia,134238,41495,112133
Harnett County, North Carolina,134214,30643,81503
Grayson County, Texas,133991,30889,82322
Tangipahoa Parish, Louisiana,133777,28300,93143
Ponce Municipio, Puerto Rico,133191,15690,41753
Black Hawk County, Iowa,132408,28602,83764
Tazewell County, Illinois,132328,36331,97840
Wichita County, Texas,132064,27021,80908
Robeson County, North Carolina,131831,28248,67870
Cambria County, Pennsylvania,131730,29298,80587
Boone County, Kentucky,131533,39104,105420
Blount County, Tennessee,131349,31326,87065
Warren County, Kentucky,131264,26123,86472
Wood County, Ohio,130696,30997,100377
Rapides Parish, Louisiana,130562,31126,84162
Fayette County, Pennsylvania,130441,32289,86581
Strafford County, New Hampshire,130090,34580,99261
Madison County, Indiana,129641,30435,80994
Sumter County, Florida,128754,22221,80291
Kaufman County, Texas,128622,31889,89230
Washington County, Tennessee,128607,27114,81238
Skagit County, Washington,128206,37022,92146
Chautauqua County, New York,127939,30150,81844
Kendall County, Illinois,127915,42489,115423
Sebastian County, Arkansas,127753,29042,76332
Linn County, Oregon,127335,32583,87490
Clarke County, Georgia,127330,20271,77444
Bossier Parish, Louisiana,127185,32080,88877
Cache County, Utah,127068,24324,80350
Cochise County, Arizona,126770,28269,79446
Berkshire County, Massachusetts,126348,34814,101270
Washington County, Rhode Island,126179,38718,118915
San Juan County, New Mexico,125043,30517,84746
Pickens County, South Carolina,124937,24639,81865
Faulkner County, Arkansas,124806,34706,90056
Hunterdon County, New Jersey,124714,55697,156573
Ascension Parish, Louisiana,124672,46321,116532
Caguas Municipio, Puerto Rico,124434,18944,52787
Gregg County, Texas,123707,30775,82197
Wayne County, North Carolina,123248,27458,70251
Blair County, Pennsylvania,122492,31064,86385
Kennebec County, Maine,122083,31777,82524
Douglas County, Kansas,121436,27259,94406
Saline County, Arkansas,121421,35025,88008
Richland County, Ohio,121099,30935,83602
Jasper County, Missouri,120636,27250,75019
Comanche County, Oklahoma,120422,27497,72390
Potter County, Texas,119648,27900,71477
Morgan County, Alabama,119089,31041,77759
Missoula County, Montana,118791,27004,89404
La Crosse County, Wisconsin,118230,32058,90329
Tom Green County, Texas,118189,30898,79998
Carroll County, Georgia,118121,30376,79501
Oswego County, New York,117898,30989,87631
Clark County, Indiana,117360,34959,86073
Allegan County, Michigan,117327,35689,92219
Berkeley County, West Virginia,117123,34004,90111
Windham County, Connecticut,117027,33365,97353
Bonneville County, Idaho,116854,30628,88031
Henderson County, North Carolina,116748,30859,77872
Lowndes County, Georgia,116321,27313,68735
Wayne County, Ohio,115967,31090,82420
Sheboygan County, Wisconsin,115456,39879,95043
Delaware County, Indiana,114772,24070,78679
Calhoun County, Alabama,114277,26259,81584
Lycoming County, Pennsylvania,113664,30328,81862
Fayette County, Georgia,113459,43857,136591
St. Mary's County, Maryland,112664,49983,131571
Flagler County, Florida,112067,30391,85181
Gallatin County, Montana,111876,29563,88001
Jefferson County, New York,111755,32637,81717
Pennington County, South Dakota,111729,31316,79490
Terrebonne Parish, Louisiana,111021,31633,87884
Mercer County, Pennsylvania,110683,27854,85236
Navajo County, Arizona,110445,24121,73367
Hardin County, Kentucky,110356,32811,84355
Douglas County, Oregon,110283,30851,78392
Kankakee County, Illinois,110024,31376,99290
LaPorte County, Indiana,110007,30742,85954
Ontario County, New York,109864,35736,101110
Eaton County, Michigan,109826,35722,96558
Newton County, Georgia,109541,31376,89698
LaSalle County, Illinois,109430,31888,91750
Cowlitz County, Washington,108987,32517,93322
Albemarle County, Virginia,108718,35806,104089
Craighead County, Arkansas,108558,30655,81615
St. Lawrence County, New York,108047,29783,94387
Androscoggin County, Maine,107679,32938,79159
Matanuska-Susitna Borough, Alaska,107610,40071,114913
Vigo County, Indiana,107386,27673,82954
Hanover County, Virginia,107239,45887,120437
Yamhill County, Oregon,107002,30067,90017
Bradley County, Tennessee,106727,30196,74160
Sumter County, South Carolina,106512,29004,73050
Monongalia County, West Virginia,106420,24916,87347
Bartow County, Georgia,106408,31793,80578
Miami County, Ohio,106222,37377,93037
Warren County, New Jersey,105779,41277,118724
Madison County, Mississippi,105630,38947,107833
Highlands County, Florida,105424,25074,73090
Cass County, Missouri,104954,37190,100112
Houston County, Alabama,104722,30258,80767
Macon County, Illinois,104712,31335,87617
Eau Claire County, Wisconsin,104534,28716,87886
DeKalb County, Illinois,104143,30720,101440
Whitfield County, Georgia,104062,29743,66503
Bay County, Michigan,103923,29674,88173
Walworth County, Wisconsin,103718,32027,91384
Franklin County, Missouri,103670,33199,81249
Carver County, Minnesota,103551,52006,140537
Wicomico County, Maryland,103195,28355,86268
Fond du Lac County, Wisconsin,103066,32803,87842
Platte County, Missouri,102985,41504,106335
Craven County, North Carolina,102912,28408,71156
Cecil County, Maryland,102826,36953,96313
Adams County, Pennsylvania,102811,34245,89062
Tompkins County, New York,102793,26714,104090
Columbiana County, Ohio,102665,30419,79959
Allen County, Ohio,102663,30549,83044
Woodbury County, Iowa,102539,33294,87892
Etowah County, Alabama,102501,27941,72508
Flathead County, Montana,102106,29234,80802
Daviess County, Kentucky,101104,30559,80721
Rockwall County, Texas,100657,47405,115907
Roanoke city, Virginia,99920,30216,71054
Nevada County, California,99696,34785,103942
Garland County, Arkansas,99154,27970,72289
Montgomery County, Virginia,98985,25572,96002
Laramie County, Wyoming,98976,36714,92771
Fairbanks North Star Borough, Alaska,98971,39967,107906
Putnam County, New York,98892,45321,140867
Moore County, North Carolina,98682,33374,89470
Lenawee County, Michigan,98266,30854,85514
Lafourche Parish, Louisiana,98115,36172,101370
Story County, Iowa,98105,22250,91259
Floyd County, Georgia,97927,28362,69238
Sevier County, Tennessee,97892,24190,72384
Cleveland County, North Carolina,97645,29126,73088
Madison County, Tennessee,97605,31097,80938
Ashtabula County, Ohio,97493,28038,79978
Grant County, Washington,97331,29573,78355
Dubuque County, Iowa,96854,32816,88950
Sutter County, California,96807,31254,90030
Hunt County, Texas,96493,31704,86582
Limestone County, Alabama,96174,32041,83736
Marshall County, Alabama,96109,27383,73015
Sherburne County, Minnesota,96036,37414,97195
Steuben County, New York,95796,35017,93086
Lancaster County, South Carolina,95380,32404,95591
Burleigh County, North Dakota,95273,42285,109174
Portsmouth city, Virginia,94632,30430,77596
Franklin County, Washington,94347,31609,79526
Maury County, Tennessee,94340,32393,79537
Bowie County, Texas,94324,33631,84147
Roanoke County, Virginia,94073,40716,96908
Geauga County, Ohio,94031,41482,110486
Nash County, North Carolina,94016,28818,79457
Pottawattamie County, Iowa,93533,31566,81811
Walton County, Georgia,93503,35002,89770
Cabell County, West Virginia,93224,24779,73236
Campbell County, Kentucky,93152,37376,104173
Grand Traverse County, Michigan,92573,32330,90260
Cape May County, New Jersey,92560,35725,101103
Lauderdale County, Alabama,92387,31724,77140
Madison County, Kentucky,92368,24513,81266
Tuscarawas County, Ohio,92176,31358,86894
Benton County, Oregon,92101,24708,105894
Victoria County, Texas,92035,30673,81466
Calvert County, Maryland,92003,52173,141067
Rogers County, Oklahoma,91984,36321,89705
Dougherty County, Georgia,91243,25779,70194
Suffolk city, Virginia,91185,42462,108425
Northumberland County, Pennsylvania,91083,31797,81007
Rockingham County, North Carolina,90690,27862,76603
Rockdale County, Georgia,90594,32205,96511
Burke County, North Carolina,90382,29098,73110
Dallas County, Iowa,90180,50392,123483
Wayne County, New York,90064,34684,87986
Grafton County, New Hampshire,89786,32154,94156
St. Croix County, Wisconsin,89694,43390,106660
Ozaukee County, Wisconsin,89147,45854,126179
St. Clair County, Alabama,88690,32378,95005
Buchanan County, Missouri,88571,31056,82019
Frederick County, Virginia,88355,42203,102641
Lapeer County, Michigan,88028,31994,94103
Dodge County, Wisconsin,87847,36602,87056
Mendocino County, California,87606,26757,76361
Josephine County, Oregon,87393,25987,85276
Bannock County, Idaho,87138,26714,78139
Angelina County, Texas,87092,29003,72008
Christian County, Missouri,86983,29233,81099
Bastrop County, Texas,86976,34750,91518
Orangeburg County, South Carolina,86934,24359,71617
Liberty County, Texas,86323,34476,82998
Lawrence County, Pennsylvania,86184,29990,85288
Muskingum County, Ohio,86183,31344,83700
Twin Falls County, Idaho,86081,30827,80623
Nassau County, Florida,85832,33377,94441
